&BOXOKMC18
&VERSION                     2020_06_07

&UDEFSECTION
&BATCHNUM  3
&ENDUDEFSECTION


&TIME           (in s)      0.0000000E+00
&ISTEP                      0
&TSTEP           (in s)      0.0000000E+00
&IPATCH                     1
&ITIMESECTION               1
 
&LATT     lattice length(in A):      3.1652000E+00
&BOXLOW                (in LU):    -1.00000000E+02  -1.00000000E+02  -1.00000000E+02
&BOXSIZE               (in LU):    2.00000000E+02   2.00000000E+02   2.00000000E+02
&NGRAIN        0
!                Seed ID          x(LU)          y(LU)          z(LU)
&BOXSEINDEX                IBox      SEUsedIndexFrom        SEUsedIndexTo      SEExpdIndexFrom        SEExpdIndexTo   SEVirtualIndexFrom     SEVirtualIndexTo
&BOXSEDATA                  124                 3726                 3745                 3726                 3745                 3726                 3745
&BOXSEDATA                  125                 3746                 3781                 3746                 3781                 3746                 3781
&BOXSEDATA                  126                 3782                 3807                 3782                 3807                 3782                 3807
&BOXSEDATA                  127                 3808                 3838                 3808                 3838                 3808                 3838
&BOXSEDATA                  128                 3839                 3862                 3839                 3862                 3839                 3862
&BOXSEDATA                  129                 3863                 3893                 3863                 3893                 3863                 3893
&BOXSEDATA                  130                 3894                 3926                 3894                 3926                 3894                 3926
&BOXSEDATA                  131                 3927                 3967                 3927                 3967                 3927                 3967
&BOXSEDATA                  132                 3968                 3982                 3968                 3982                 3968                 3982
&BOXSEDATA                  133                 3983                 4018                 3983                 4018                 3983                 4018
&BOXSEDATA                  134                 4019                 4044                 4019                 4044                 4019                 4044
&BOXSEDATA                  135                 4045                 4068                 4045                 4068                 4045                 4068
&BOXSEDATA                  136                 4069                 4112                 4069                 4112                 4069                 4112
&BOXSEDATA                  137                 4113                 4149                 4113                 4149                 4113                 4149
&BOXSEDATA                  138                 4150                 4192                 4150                 4192                 4150                 4192
&BOXSEDATA                  139                 4193                 4215                 4193                 4215                 4193                 4215
&BOXSEDATA                  140                 4216                 4255                 4216                 4255                 4216                 4255
&BOXSEDATA                  141                 4256                 4288                 4256                 4288                 4256                 4288
&BOXSEDATA                  142                 4289                 4323                 4289                 4323                 4289                 4323
&BOXSEDATA                  143                 4324                 4350                 4324                 4350                 4324                 4350
&BOXSEDATA                  144                 4351                 4377                 4351                 4377                 4351                 4377
&BOXSEDATA                  145                 4378                 4403                 4378                 4403                 4378                 4403
&BOXSEDATA                  146                 4404                 4427                 4404                 4427                 4404                 4427
&BOXSEDATA                  147                 4428                 4463                 4428                 4463                 4428                 4463
&BOXSEDATA                  148                 4464                 4485                 4464                 4485                 4464                 4485
&BOXSEDATA                  149                 4486                 4523                 4486                 4523                 4486                 4523
&BOXSEDATA                  150                 4524                 4560                 4524                 4560                 4524                 4560
&BOXSEDATA                  151                 4561                 4600                 4561                 4600                 4561                 4600
&BOXSEDATA                  152                 4601                 4633                 4601                 4633                 4601                 4633
&BOXSEDATA                  153                 4634                 4668                 4634                 4668                 4634                 4668
&BOXSEDATA                  154                 4669                 4695                 4669                 4695                 4669                 4695
&BOXSEDATA                  155                 4696                 4722                 4696                 4722                 4696                 4722
&BOXSEDATA                  156                 4723                 4748                 4723                 4748                 4723                 4748
&BOXSEDATA                  157                 4749                 4772                 4749                 4772                 4749                 4772
&BOXSEDATA                  158                 4773                 4808                 4773                 4808                 4773                 4808
&BOXSEDATA                  159                 4809                 4830                 4809                 4830                 4809                 4830
&BOXSEDATA                  160                 4831                 4868                 4831                 4868                 4831                 4868
&BOXSEDATA                  161                 4869                 4905                 4869                 4905                 4869                 4905
&BOXSEDATA                  162                 4906                 4937                 4906                 4937                 4906                 4937
&BOXSEDATA                  163                 4938                 4965                 4938                 4965                 4938                 4965
&BOXSEDATA                  164                 4966                 4993                 4966                 4993                 4966                 4993
&BOXSEDATA                  165                 4994                 5032                 4994                 5032                 4994                 5032
&BOXSEDATA                  166                 5033                 5055                 5033                 5055                 5033                 5055
&BOXSEDATA                  167                 5056                 5076                 5056                 5076                 5056                 5076
&BOXSEDATA                  168                 5077                 5109                 5077                 5109                 5077                 5109
&BOXSEDATA                  169                 5110                 5133                 5110                 5133                 5110                 5133
&BOXSEDATA                  170                 5134                 5157                 5134                 5157                 5134                 5157
&BOXSEDATA                  171                 5158                 5183                 5158                 5183                 5158                 5183
&BOXSEDATA                  172                 5184                 5212                 5184                 5212                 5184                 5212
&BOXSEDATA                  173                 5213                 5245                 5213                 5245                 5213                 5245
&BOXSEDATA                  174                 5246                 5265                 5246                 5265                 5246                 5265
&BOXSEDATA                  175                 5266                 5301                 5266                 5301                 5266                 5301
&BOXSEDATA                  176                 5302                 5327                 5302                 5327                 5302                 5327
&BOXSEDATA                  177                 5328                 5358                 5328                 5358                 5328                 5358
