                Step              Time(s)             TStep(s)         NACTClusters         TotalCluster           TotalAtoms       NUM_ACTIVEFREE       NUM_ACTIVEINGB      NUM_OUT_DESTROY       NUM_EXP_DESTRO      NUM_MIS_DESTROY         NUM_ABSORBED       NUM_ANNIHILATE      RMIN_ACTIVEFREE      RMIN_ACTIVEINGB     RMIN_OUT_DESTROY      RMIN_EXP_DESTRO     RMIN_MIS_DESTROY        RMIN_ABSORBED      RMIN_ANNIHILATE      RMAX_ACTIVEFREE      RMAX_ACTIVEINGB     RMAX_OUT_DESTROY      RMAX_EXP_DESTRO     RMAX_MIS_DESTROY        RMAX_ABSORBED      RMAX_ANNIHILATE                 RAVE                 NAVA          Concentrate         TotalImplant      ACUM_ACTIVEFREE      ACUM_ACTIVEINGB     ACUM_OUT_DESTROY      ACUM_EXP_DESTRO     ACUM_MIS_DESTROY        ACUM_ABSORBED      ACUM_ANNIHILATE
                 340       9.32520022E-11       2.76000007E-13                17620                24320                25146                17620                    0                    0                    0                    0                 4896                 1804       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.76914905E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56960074E-01       1.30306470E+00       8.68205352E+16                    0                17620                    0                    0                    0                    0                 4896                 1804
                 350       9.60120023E-11       2.76000007E-13                17575                24320                25141                17575                    0                    0                    0                    0                 4929                 1816       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.76914905E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56975227E-01       1.30389758E+00       8.65988029E+16                    0                17575                    0                    0                    0                    0                 4929                 1816
                 360       9.87720024E-11       2.76000007E-13                17541                24320                25111                17541                    0                    0                    0                    0                 4955                 1824       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.76914905E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56987311E-01       1.30425859E+00       8.64312718E+16                    0                17541                    0                    0                    0                    0                 4955                 1824
                 370       1.01532002E-10       2.76000007E-13                17494                24320                25077                17494                    0                    0                    0                    0                 4990                 1836       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.76914905E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56981727E-01       1.30456156E+00       8.61996847E+16                    0                17494                    0                    0                    0                    0                 4990                 1836
                 380       1.04292003E-10       2.76000007E-13                17457                24320                25027                17457                    0                    0                    0                    0                 5015                 1848       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.76914905E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56984727E-01       1.30469153E+00       8.60173714E+16                    0                17457                    0                    0                    0                    0                 5015                 1848
                 390       1.07052003E-10       2.76000007E-13                17421                24320                24996                17421                    0                    0                    0                    0                 5040                 1859       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.76914905E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.57003695E-01       1.30532116E+00       8.58399855E+16                    0                17421                    0                    0                    0                    0                 5040                 1859
                 400       1.09812003E-10       2.76000007E-13                17385                24320                24951                17385                    0                    0                    0                    0                 5068                 1867       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.76914905E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.57005286E-01       1.30537820E+00       8.56625996E+16                    0                17385                    0                    0                    0                    0                 5068                 1867
                 410       1.12572003E-10       2.76000007E-13                17358                24320                24933                17358                    0                    0                    0                    0                 5088                 1874       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.76914905E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.57005533E-01       1.30568038E+00       8.55295602E+16                    0                17358                    0                    0                    0                    0                 5088                 1874
                 420       1.15332003E-10       2.76000007E-13                17316                24320                24898                17316                    0                    0                    0                    0                 5117                 1887       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.76914905E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.57019639E-01       1.30607531E+00       8.53226100E+16                    0                17316                    0                    0                    0                    0                 5117                 1887
                 430       1.18092003E-10       2.76000007E-13                17282                24320                24846                17282                    0                    0                    0                    0                 5141                 1897       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.76914905E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.57011717E-01       1.30586738E+00       8.51550789E+16                    0                17282                    0                    0                    0                    0                 5141                 1897
